ConnID	PlugID	PmtID	SN	WLv	HvLv	BatcNo	SipDate
P572392E_S0069	S9269	1	7002	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	2	6761	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	3	6453	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	4	6348	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	5	2699	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	6	98383	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	7	6691	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	8	6115	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	9	6057	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	10	6750	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	11	6693	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	12	6448	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	13	6924	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	14	6833	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	15	6914	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0069	S9269	16	6724	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	1	6347	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	2	6999	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	3	98094	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	4	2676	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	5	6581	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	6	6689	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	7	6306	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	8	7040	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	9	6407	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	10	6580	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	11	5353	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	12	6464	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	13	6785	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	14	6331	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	15	6798	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0061	S9261	16	7068	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	1	7038	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	2	6607	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	3	6701	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	4	98488	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	5	4103	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	6	7070	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	7	99918	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	8	97250	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	9	6452	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	10	6825	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	11	7046	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	12	6649	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	13	6883	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	14	6743	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	15	6873	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0066	S9266	16	6851	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	1	6626	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	2	4012	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	3	6860	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	4	6764	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	5	6682	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	6	6749	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	7	6472	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	8	99536	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	9	6703	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	10	6572	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	11	6630	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	12	6668	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	13	6591	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	14	98475	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	15	6639	2	16	JUNO-01-20200902-4	2020/9/2
P572392E_S0012	S9212	16	6595	2	16	JUNO-01-20200902-4	2020/9/2
P572391D_S0055	S9155	1	6786	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	2	6945	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	3	7013	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	4	6931	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	5	6590	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	6	6744	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	7	7030	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	8	6985	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	9	6545	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	10	6994	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	11	6651	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	12	6925	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	13	6584	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	14	6533	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	15	6726	1	4	JUNO-02-20201123-16	2020/11/23
P572391D_S0055	S9155	16	6969	1	4	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	1	6641	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	2	6800	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	3	98480	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	4	6568	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	5	5392	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	6	6589	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	7	6829	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	8	6870	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	9	7022	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	10	7036	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	11	6955	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	12	6666	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	13	6257	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	14	98448	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	15	5880	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0061	S9161	16	6709	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	1	6966	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	2	6872	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	3	6669	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	4	6468	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	5	6643	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	6	6796	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	7	6656	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	8	3030	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	9	6965	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	10	6424	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	11	6729	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	12	6857	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	13	6415	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	14	6458	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	15	6313	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0066	S9166	16	6946	3	1	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	1	6422	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	2	6947	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	3	98144	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	4	7063	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	5	7061	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	6	6991	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	7	6146	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	8	6383	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	9	6638	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	10	6683	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	11	6804	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	12	6534	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	13	5899	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	14	6928	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	15	6875	3	2	JUNO-02-20201123-16	2020/11/23
P572391E_S0067	S9167	16	7047	3	2	JUNO-02-20201123-16	2020/11/23
P572392C-S0002	S3	1	90075	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	2	89507	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	3	89831	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	4	6184	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	5	89630	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	6	90322	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	7	89552	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	8	83769	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	9	89515	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	10	89919	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	11	89565	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	12	89238	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	13	86111	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	14	96373	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	15	89615	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0002	S3	16	95955	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	1	89995	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	2	83774	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	3	96139	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	4	4992	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	5	92718	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	6	95595	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	7	83412	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	8	95403	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	9	89042	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	10	99257	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	11	90636	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	12	89210	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	13	86291	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	14	83395	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	15	86696	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0003	S1	16	90295	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	1	88313	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	2	91242	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	3	84811	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	4	91940	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	5	84105	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	6	92221	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	7	90568	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	8	84358	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	9	84873	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	10	91796	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	11	92696	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	12	92588	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	13	81378	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	14	85046	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	15	90045	2	16	JUNO-01-20200902-4	2020/9/2
P572392C-S0004	S2	16	89864	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	1	5760	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	2	5222	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	3	5433	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	4	80905	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	5	5599	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	6	5355	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	7	5978	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	8	96809	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	9	5902	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	10	90454	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	11	6158	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	12	6185	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	13	80887	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	14	4716	2	16	JUNO-01-20200902-4	2020/9/2
P572391C-S0008	S4	15	89209	2	16	JUNO-01-20200902-4	2020/9/2
