ConnectorNo.	CableNo	SN	3E6HV	PHT	QE404	PV	DR 
P572392E_S0069	1	7002	1133	7.1	25.57	2.1	691
P572392E_S0069	2	6761	1139	7	26	3.45	1123
P572392E_S0069	3	6453	1129	7.14	27.85	3.84	172
P572392E_S0069	4	6348	1135	7.13	25.78	3.28	244
P572392E_S0069	5	2699	1145	7.01	26.93	3.47	3863
P572392E_S0069	6	98383	1145	7.1	26.23	3.32	974
P572392E_S0069	7	6691	1139	7.19	26.4	3.17	108
P572392E_S0069	8	6115	1136	7.84	28.35	3.82	1302
P572392E_S0069	9	6057	1128	7.08	26.78	3.43	600
P572392E_S0069	10	6750	1135	7.23	27.19	2.95	726
P572392E_S0069	11	6693	1130	7.22	26.11	3.36	223
P572392E_S0069	12	6448	1137	7.27	25.79	3.64	240
P572392E_S0069	13	6924	1135	7.06	25.17	2.1	934
P572392E_S0069	14	6833	1131	7.19	26.74	3.2	615
P572392E_S0069	15	6914	1142	6.95	26.04	3.4	830
P572392E_S0069	16	6724	1128	7.05	26.69	2.87	497
P572392E_S0061	1	6347	1125	7.26	26.3	3.63	531
P572392E_S0061	2	6999	1117	7.1	25.82	2.4	495
P572392E_S0061	3	98094	1121	7.13	26.29	2.96	247
P572392E_S0061	4	2676	1103	7.49	26.76	3.29	314
P572392E_S0061	5	6581	1122	7.39	25.86	3.82	157
P572392E_S0061	6	6689	1123	7.22	26.08	2.73	161
P572392E_S0061	7	6306	1119	7.1	25.49	3.12	496
P572392E_S0061	8	7040	1103	7.2	26.47	3.2	850
P572392E_S0061	9	6407	1122	7.27	25.94	3.61	340
P572392E_S0061	10	6580	1115	7.36	27	3.44	433
P572392E_S0061	11	5353	1117	7.2	23.98	2.52	591
P572392E_S0061	12	6464	1120	7.17	25.28	2.64	391
P572392E_S0061	13	6785	1121	7.26	25.57	3.9	715
P572392E_S0061	14	6331	1116	7.26	26.3	3.18	228
P572392E_S0061	15	6798	1107	7.24	26.14	3.3	482
P572392E_S0061	16	7068	1106	7.2	25.85	3.2	722
P572392E_S0066	1	7038	1104	7.19	26.78	3.2	970
P572392E_S0066	2	6607	1124	7.28	25.13	3.42	161
P572392E_S0066	3	6701	1121	7.01	25.96	3.76	586
P572392E_S0066	4	98488	1122	7.16	27.41	2.31	312
P572392E_S0066	5	4103	1108	7.11	27.68	3.27	1060
P572392E_S0066	6	7070	1122	7.14	25.58	2.8	492
P572392E_S0066	7	99918	1117	7.17	26.27	3.11	736
P572392E_S0066	8	97250	1104	7.17	28.15	2.34	597
P572392E_S0066	9	6452	1119	7.14	27.05	2.84	728
P572392E_S0066	10	6825	1118	7.22	25.02	2.8	420
P572392E_S0066	11	7046	1110	7.08	25.75	2.8	512
P572392E_S0066	12	6649	1120	7.22	26.63	3.47	786
P572392E_S0066	13	6883	1168	6.98	24.99	3	658
P572392E_S0066	14	6743	1111	7.24	25.79	2.8	388
P572392E_S0066	15	6873	1111	7.37	26.64	3.6	456
P572392E_S0066	16	6851	1110	7.26	25.32	3.3	538
P572392E_S0012	1	6626	1153	7.1	26.6	3.35	711
P572392E_S0012	2	4012	1158	7.04	27.5	3.16	471
P572392E_S0012	3	6860	1169	7.05	27.52	3.65	1259
P572392E_S0012	4	6764	1165	7.12	25.67	3.2	745
P572392E_S0012	5	6682	1155	7.15	25.92	3.33	890
P572392E_S0012	6	6749	1163	7.09	26.78	3.3	935
P572392E_S0012	7	6472	1158	7.3	27.17	3.28	540
P572392E_S0012	8	99536	1165	7.14	26.1	3.84	1080
P572392E_S0012	9	6703	1169	7.05	25.84	3.52	1469
P572392E_S0012	10	6572	1167	6.93	25.14	3.54	195
P572392E_S0012	11	6630	1151	7.02	26.49	3.27	303
P572392E_S0012	12	6668	1162	7.11	25.7	3.06	192
P572392E_S0012	13	6591	1153	7.25	25.27	3.84	173
P572392E_S0012	14	98475	1163	7.04	26.87	2.86	650
P572392E_S0012	15	6639	1159	7.18	25.29	3.27	333
P572392E_S0012	16	6595	1156	7.14	25.2	3.19	766
P572391D_S0055	1	6786	1103	7.17	25.59	2.86	1390
P572391D_S0055	2	6945	1117	7.09	25.84	2.6	511
P572391D_S0055	3	7013	1115	7.22	26.56	3.3	1172
P572391D_S0055	4	6931	1101	7.06	26.39	2.5	711
P572391D_S0055	5	6590	1115	7.47	25.26	3.24	187
P572391D_S0055	6	6744	1117	7.26	26.28	3.4	529
P572391D_S0055	7	7030	1115	7.09	26.22	3	743
P572391D_S0055	8	6985	1124	7.13	24.16	2.4	632
P572391D_S0055	9	6545	1123	7.19	26.54	3.42	335
P572391D_S0055	10	6994	1120	7.05	26.26	2.5	590
P572391D_S0055	11	6651	1117	7.33	27	3.28	469
P572391D_S0055	12	6925	1112	7.08	26.44	2.8	886
P572391D_S0055	13	6584	1121	7.44	26.4	3.64	335
P572391D_S0055	14	6533	1116	7.19	25.46	3.26	186
P572391D_S0055	15	6726	1115	7.15	26.12	3.22	723
P572391D_S0055	16	6969	1121	7.11	24.24	2.8	512
P572391E_S0061	1	6641	1153	7.05	25.81	3.47	177
P572391E_S0061	2	6800	1156	7.06	26.44	3.4	853
P572391E_S0061	3	98480	1167	7.11	26.99	2.76	611
P572391E_S0061	4	6568	1166	7.16	25.88	3.33	170
P572391E_S0061	5	5392	1174	7.02	23.79	3.55	291
P572391E_S0061	6	6589	1155	7.16	26.37	3.24	200
P572391E_S0061	7	6829	1160	7.07	26.13	3.6	987
P572391E_S0061	8	6870	1152	7.22	26.28	3.8	622
P572391E_S0061	9	7022	1171	7	28.03	3.2	850
P572391E_S0061	10	7036	1172	7	26.38	2.9	622
P572391E_S0061	11	6955	1163	6.9	25.14	2.7	618
P572391E_S0061	12	6666	1162	7.12	25.33	3.18	123
P572391E_S0061	13	6257	1163	7.03	26.84	3.63	209
P572391E_S0061	14	98448	1159	7.21	27.04	2.45	456
P572391E_S0061	15	5880	1167	7.3	25.32	3.27	104
P572391E_S0061	16	6709	1161	7.25	26.66	3.84	104
P572391E_S0066	1	6966	1166	6.88	27.21	3.3	973
P572391E_S0066	2	6872	1175	7.23	26.05	3.3	623
P572391E_S0066	3	6669	1164	7.11	25.98	3.63	167
P572391E_S0066	4	6468	1167	7.16	26.23	3.68	393
P572391E_S0066	5	6643	1152	7.15	26.62	3.47	81
P572391E_S0066	6	6796	1164	6.94	26.3	3.1	640
P572391E_S0066	7	6656	1171	7.14	27.15	3.43	136
P572391E_S0066	8	3030	1152	7.18	26.95	2.93	500
P572391E_S0066	9	6965	1163	6.94	24.82	2.4	710
P572391E_S0066	10	6424	1162	7.05	26.02	3.42	413
P572391E_S0066	11	6729	1175	6.99	26.54	3.7	750
P572391E_S0066	12	6857	1162	7.14	25.55	3.6	451
P572391E_S0066	13	6415	1171	7.21	26.42	3.26	357
P572391E_S0066	14	6458	1158	7.18	25.43	3.43	388
P572391E_S0066	15	6313	1173	7.05	25.63	3.26	197
P572391E_S0066	16	6946	1162	7.04	24.06	2.35	836
P572391E_S0067	1	6422	1143	7.16	26.17	3.43	868
P572391E_S0067	2	6947	1145	7.08	25.12	2.5	411
P572391E_S0067	3	98144	1140	7.1	29.69	2.23	802
P572391E_S0067	4	7063	1140	6.99	25.99	2.7	820
P572391E_S0067	5	7061	1145	6.89	26.22	3.1	1252
P572391E_S0067	6	6991	1144	7.12	25.99	3.1	925
P572391E_S0067	7	6146	1128	6.93	27.77	3.42	462
P572391E_S0067	8	6383	1125	7.1	26.82	2.82	567
P572391E_S0067	9	6638	1147	7.2	26.36	2.79	129
