Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 81.5 2.5 84.9 2.5 92.8 1.4 87.9 1.1 
1 80.3 2.3 80.8 2.5 88.0 1.2 88.2 1.1 
2 86.8 2.6 81.2 2.3 88.0 1.4 85.5 1.1 
3 83.8 2.6 86.5 2.4 89.3 1.3 83.9 1.1 
4 80.5 2.6 86.9 2.4 88.7 1.5 85.4 1.1 
5 80.0 2.3 79.0 2.4 89.4 1.3 91.6 1.1 
6 86.0 2.4 85.5 2.4 85.5 1.2 87.7 1.1 
7 87.1 2.5 86.1 2.3 88.6 1.2 92.0 1.1 
8 85.8 2.4 85.5 2.5 88.2 1.2 90.8 1.2 
9 84.1 2.4 77.9 2.5 88.0 1.2 88.0 1.1 
10 79.5 2.5 85.3 2.5 94.5 1.4 93.6 1.1 
11 83.5 2.5 81.6 2.7 88.2 1.2 90.8 1.1 
12 85.7 2.6 77.5 2.4 84.1 1.2 81.4 1.1 
13 80.3 2.4 85.3 2.6 88.2 1.4 85.7 1.2 
14 81.5 2.5 81.2 2.4 92.4 1.2 95.4 1.1 
15 84.2 2.5 76.7 2.5 89.6 1.5 86.1 1.2 
16 73.2 2.0 68.0 2.1 74.6 1.4 70.3 1.4 
17 66.3 2.2 68.3 2.2 70.0 1.2 72.1 1.1 
18 63.1 2.3 66.8 2.1 70.3 1.2 66.5 1.5 
19 63.2 2.3 68.5 2.2 70.6 1.4 75.8 1.1 
20 73.3 2.2 68.3 2.1 70.3 1.4 73.0 1.5 
21 64.2 2.2 70.1 2.3 77.0 1.1 71.2 1.3 
22 62.7 2.1 66.4 2.1 71.1 1.2 69.5 1.1 
23 72.8 2.1 70.0 2.2 75.0 1.2 73.1 1.1 
24 74.2 2.1 70.8 2.1 78.7 1.2 76.3 1.0 
25 63.9 2.2 66.0 2.2 69.5 1.2 71.4 1.1 
26 67.4 2.4 63.9 2.3 70.9 1.4 72.2 1.0 
27 64.8 2.2 66.0 2.2 69.0 1.2 71.9 1.1 
28 70.9 2.3 75.1 2.2 68.0 1.3 68.1 1.1 
29 65.0 2.3 67.2 2.2 73.2 1.2 76.2 1.3 
30 65.7 2.3 65.0 2.1 70.8 1.2 68.3 1.2 
31 58.9 2.2 64.3 2.1 80.0 1.2 76.8 1.1 
32 68.0 3.0 67.6 3.3 82.5 1.5 75.2 1.4 
33 60.2 2.9 62.9 2.8 75.1 1.4 72.3 1.2 
