Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 0  129.4  2.6  -3.4  2.4  42.3  137.9  2.7  -7.2  2.3  41.8  6139  14.7631  6138  14.3161 
 1  117.4  5.5  -0.8  4.7  158.9  151.6  4.0  -11.0  2.6  20.2  3161  14.5487  3086  14.3287 
 2  122.2  3.2  3.4  2.6  56.5  125.0  3.7  -1.1  3.2  74.4  577  14.1899  538  14.3724 
 3  135.9  1.8  -3.2  1.7  21.4  135.0  1.9  -4.9  1.7  22.1  3931  14.9757  3977  14.3511 
 4  122.5  2.8  5.1  3.0  72.3  128.9  2.3  -0.2  2.4  46.9  5604  13.4094  5625  13.3194 
 5  127.6  3.7  0.1  2.6  53.1  131.8  2.6  -2.3  1.9  24.7  6180  14.0368  6193  13.9759 
 6  131.6  2.8  -2.1  2.3  41.2  137.4  1.6  -3.8  1.2  11.1  0 0 0 0
 7  136.9  1.4  -4.8  1.7  22.1  125.4  2.2  -1.2  2.3  24.2  228  14.1607  233  15.8138 
 8  146.0  2.8  -3.8  1.9  27.2  139.8  3.3  -7.2  2.3  37.6  0 0 0 0
 9  142.5  3.9  -8.9  3.3  76.2  130.7  1.7  -1.2  1.4  14.3  4494  14.8934  4478  14.5772 
 10  133.1  2.4  -6.2  2.6  52.4  130.3  1.3  -0.3  1.3  13.6  6253  13.8049  6248  14.0285 
 11  122.2  3.3  0.5  2.6  52.2  125.3  2.6  4.3  2.0  29.6  0 0 0 0
 12  129.0  5.3  -0.4  3.5  87.4  131.3  3.6  0.1  2.4  39.3  0 0 0 0
 13  129.9  1.7  2.0  1.0  8.2  129.0  2.5  -2.0  1.6  16.8  6161  14.3498  6184  14.6846 
 14  131.1  2.3  -6.8  1.9  26.2  135.0  4.4  -3.1  3.4  85.2  0 0 0 0
 15  143.3  4.7  -8.4  4.4  144.4  127.9  3.4  0.3  3.1  76.1  976  15.3698  962  14.7356 
 16  118.2  6.9  7.5  8.3  580.5  119.4  2.0  -2.3  2.6  52.4  4361  13.3614  4347  13.3542 
 17  126.4  3.4  -8.1  4.2  132.8  121.6  1.6  3.2  1.9  29.9  818  13.5653  765  14.1817 
 18  118.3  2.2  -0.6  2.3  41.1  120.3  1.1  1.6  1.1  10.2  249  13.5351  261  14.1505 
 19  124.0  1.5  0.1  1.4  14.9  122.5  1.1  1.5  1.0  8.0  0 0 0 0
 20  122.2  2.9  -1.1  2.3  42.3  127.7  3.5  -4.8  2.9  59.1  389  14.3568  400  13.1599 
 21  111.1  3.9  -0.1  4.3  151.4  131.0  1.5  6.6  1.4  18.5  3644  13.4295  3675  14.0498 
 22  114.3  3.6  6.3  3.3  90.5  125.3  0.4  0.1  0.3  0.7  0 0 0 0
 23  127.4  2.6  -2.3  1.8  26.2  125.4  2.7  0.4  2.0  27.2  0 0 0 0
 24  117.8  1.8  4.7  2.3  39.1  128.8  4.5  -5.1  5.6  233.8  6207  13.3489  6202  13.2708 
 25  128.6  1.9  -1.8  2.5  53.2  121.7  1.8  -0.5  2.4  47.0  5660  13.4079  5631  12.6867 
 26  125.8  3.0  -5.2  3.0  68.4  125.1  1.2  -0.4  1.2  10.6  0  0  0  0 
 27  127.6  2.1  -2.9  1.8  22.0  127.7  4.3  -3.9  3.7  97.6  6181  13.4522  6177  13.5871 
 28  125.7  2.9  1.0  3.4  91.2  124.6  1.0  -1.7  1.2  11.6  1118  14.0336  1137  13.224 
 29  125.8  3.3  -2.7  2.3  39.1  127.6  4.1  0.2  2.8  55.4  0 0 0 0
 30  124.7  2.2  -4.8  1.6  18.2  116.1  5.2  1.3  3.6  82.1  0 0 0 0
 31  123.8  3.7  1.7  3.4  92.0  125.9  3.1  -4.7  3.1  68.8  4410  13.4001  4457  13.5707 
 32  123.0  1.7  1.5  1.5  16.8  119.6  2.2  1.2  2.0  28.6  0 0 0 0
 33  120.6  1.0  -2.8  1.3  14.4  122.6  1.6  3.0  2.0  34.0  0 0 0 0
 34  110.0  4.0  10.6  6.2  319.7  121.8  2.7  1.0  3.9  122.0  295  13.5945  284  12.1708 
 35  126.5  2.2  -1.5  2.1  33.6  121.3  2.8  5.3  2.7  42.1  0 0 0 0
 36  123.8  3.3  2.2  5.0  116.7  130.0  3.5  -6.5  6.5  347.8  1021  13.7494  999  12.6332 
 37  135.3  4.5  -9.2  8.6  363.6  131.4  1.5  -5.7  2.5  37.6  5999  13.6622  6032  12.8439 
 38  121.6  3.2  3.4  4.9  188.8  126.7  3.2  -3.3  4.8  180.8  974  13.2713  922  13.1714 
 39  121.2  0.9  7.2  1.1  9.0  127.4  2.9  -12.7  3.4  82.7  445  13.5794  463  12.0397 
 40  125.7  1.6  -1.2  2.0  31.0  123.8  0.3  -2.7  0.4  1.3  0 0 0 0
 41  135.7  1.8  -5.7  1.4  14.3  131.9  7.3  -1.0  5.6  226.4  0 0 0 0
 42  120.7  1.7  6.0  2.3  44.7  117.6  4.6  7.4  6.1  317.6  0 0 0 0
 43  121.4  2.1  6.6  2.6  57.8  127.2  1.8  0.9  2.2  38.4  0 0 0 0
 44  126.7  1.5  -4.2  1.6  19.2  116.8  4.4  2.9  4.7  175.8  0 0 0 0
 45  130.6  3.7  -1.5  4.9  189.6  127.9  2.6  -2.2  3.6  105.8  5965  13.5104  5977  13.4321 
 46  121.2  2.1  1.8  2.6  53.7  121.6  1.4  2.7  1.7  24.5  4492  13.4071  4441  13.5739 
 47  118.5  2.1  6.5  2.9  66.1  129.1  4.6  -10.9  6.3  278.1  364  13.6656  410  12.2027 
 48  130.3  2.5  -0.7  4.1  138.3  124.7  1.0  5.1  1.7  23.6  6083  13.6451  6087  13.57 
 49  127.0  2.2  0.4  3.0  75.9  125.6  1.6  -3.2  2.2  40.4  2498  13.0952  2479  13.1071 
 50  125.2  1.4  6.6  1.9  34.2  122.9  1.8  0.3  2.6  55.9  2242  14.1106  2314  14.2429 
 51  129.5  1.3  -1.7  2.1  35.9  127.6  1.3  -2.7  2.2  37.8  4069  12.9057  4051  12.7202 
 52  126.2  1.3  -3.2  1.7  22.6  124.8  1.6  1.9  2.2  40.0  4845  13.5083  4784  13.6718 
 53  123.8  0.8  4.9  1.1  10.8  122.7  2.6  2.8  3.6  104.7  290  13.7883  350  14.7484 
 54  125.9  1.1  1.2  1.3  13.5  127.9  0.6  -0.2  0.7  3.8  6179  13.3027  6169  13.7969 
 55  131.6  2.8  0.2  3.7  111.7  126.1  2.9  2.3  3.8  118.9  201  13.9523  209  14.3099 
 56  127.5  4.1  2.2  6.7  390.1  134.6  2.5  -5.9  3.9  125.1  772  13.2745  793  14.4673 
 57  121.8  1.5  3.0  1.8  26.0  121.3  2.2  3.5  1.7  6.4  6139  14.1043  6135  13.0543 
 58  130.1  4.3  -3.3  7.4  461.4  126.0  5.7  5.1  9.4  732.2  5111  13.4045  5144  13.2752 
 59  127.3  1.2  0.3  1.7  24.6  126.8  2.9  -5.1  4.2  137.5  5337  14.0981  5318  13.4394 
 60  126.2  5.7  2.8  9.5  756.7  121.8  4.5  2.6  7.9  531.3  6181  13.6766  6173  13.8217 
 61  126.7  1.9  -1.6  2.6  56.1  127.0  1.1  -0.9  1.5  18.5  0 0 0 0
 62  128.1  2.4  -3.6  3.1  77.4  128.0  3.4  -2.4  4.4  159.6  441  13.032  454  14.1505 
 63  126.4  1.4  -0.1  1.5  18.2  123.5  1.6  1.2  1.8  25.3  385  14.1483  379  14.4358 
 64  120.6  2.0  3.0  1.4  16.9  132.5  2.0  -3.4  1.1  5.7  0 0 0 0
 65  116.8  3.6  4.2  2.7  60.7  115.7  5.3  4.9  4.1  137.6  1901  13.1857  1847  13.1051 
 66  125.3  1.5  -0.7  1.0  7.5  127.6  1.5  1.8  0.9  7.6  0 0 0 0
