Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 42 951
1 46 952
2 40 941
3 44 945
4 46 951
5 36 944
6 33 941
7 37 954
8 42 952
9 36 952
10 31 935
11 37 984
12 50 957
13 44 956
14 37 946
15 42 954
16 5 939
17 26 923
18 38 934
19 37 940
20 22 944
21 37 948
22 34 942
23 37 938
24 35 938
25 37 948
26 35 928
27 34 932
28 30 924
29 38 934
30 42 927
31 42 935
32 37 941
33 42 942
34 49 940
35 50 947
36 50 954
37 35 954
38 48 945
39 45 960
40 37 948
41 41 937
42 30 945
43 45 936
44 46 946
45 43 933
46 46 948
47 41 944
48 34 931
49 26 933
50 34 937
51 22 918
52 41 929
53 26 919
54 25 915
55 29 919
56 38 925
57 33 943
58 26 938
59 32 925
60 41 958
61 30 921
62 37 937
63 36 930
64 30 944
65 33 930
66 45 955
67 38 950
68 34 956
69 35 952
70 37 960
71 33 938
72 35 938
73 30 939
74 34 949
75 33 950
76 33 942
77 33 936
78 37 947
79 26 934
80 17 922
81 26 925
82 22 913
83 22 904
84 8 910
85 25 920
86 16 901
87 16 906
88 22 911
89 19 912
90 19 916
91 13 903
92 14 917
93 22 909
94 31 921
95 26 977
96 22 944
97 27 938
98 25 943
99 24 954
100 31 938
101 33 931
102 36 945
103 32 939
104 22 930
105 35 941
106 15 941
107 23 920
108 21 933
109 37 934
110 39 936
111 35 925
112 35 933
113 37 926
114 39 945
115 32 928
116 40 933
117 35 941
118 40 918
119 33 952
120 30 934
121 38 932
122 39 916
123 44 934
124 26 944
125 32 919
126 42 927
127 43 935
