Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 765
1 768
2 763
3 763
4 759
5 760
6 763
7 758
8 749
9 764
10 770
11 727
12 754
13 751
14 749
15 767
16 771
17 774
18 778
19 773
20 781
21 786
22 771
23 755
24 744
25 772
26 773
27 774
28 773
29 756
30 774
31 778
32 743
33 750
34 755
35 760
36 748
37 765
38 762
39 770
40 761
41 747
42 763
43 749
44 764
45 758
46 768
47 767
48 732
49 736
50 727
51 726
52 731
53 737
54 732
55 736
56 736
57 743
58 729
59 723
60 735
61 732
62 737
63 740
64 768
65 776
66 776
67 771
68 764
69 770
70 758
71 763
72 779
73 765
74 764
75 766
76 766
77 770
78 768
79 767
80 746
81 742
82 761
83 752
84 754
85 751
86 747
87 753
88 734
89 772
90 748
91 763
92 765
93 729
94 746
95 765
96 777
97 761
98 777
99 772
100 764
101 765
102 633
103 777
104 782
105 778
106 772
107 772
108 770
109 728
110 772
111 780
112 911
113 791
114 783
115 783
116 782
117 776
118 779
119 763
120 774
121 754
122 768
123 789
124 778
125 776
126 792
127 774
