Bellow_SN	UWB_PID	Connector_ID	GCU_SN	ABC_SN	Combined_Connector_ID	Cable_length	Connector_SN	GXU_HV	HV1	HV2
BL82N4217	N-6-01	1	GU8159	56	N-6-01-1	5	Z954	1265.47	10	11
BL82N4217	N-6-01	2	GU8159	56	N-6-01-2	10	Z569	1226.54	14	15
BL82N4217	N-6-01	3	GU8159	56	N-6-01-3	5	Z429	1154.15	12	13
BL82N4217	N-6-01	4	GU8159	56	N-6-01-4	10	Z416	1168.1	8	9
BL67N7215	N-6-02	1	GU8198	118	N-6-02-1	5	Z464	1181.98	10	11
BL67N7215	N-6-02	2	GU8198	118	N-6-02-2	10	Z620	1226.54	14	15
BL67N7215	N-6-02	3	GU8198	118	N-6-02-3	5	Z467	1181.98	12	13
BL67N7215	N-6-02	4	GU8198	118	N-6-02-4	10	Z439	1168.1	8	9
BL67N7215	N-6-02	5	GU8198	118	N-6-02-5	5	Z452	1181.98	0	1
BL67N7215	N-6-02	6	GU8198	118	N-6-02-6	10	Z408	1460.3	4	5
BL62N3260	N-6-03	1	GU8053	134	N-6-03-1	5	Z572	1209.81	10	11
BL62N3260	N-6-03	2	GU8053	134	N-6-03-2	10	Z592	1226.54	14	15
BL62N3260	N-6-03	3	GU8053	134	N-6-03-3	5	Z93	1042.83	12	13
BL62N3260	N-6-03	4	GU8053	134	N-6-03-4	10	Z461	1197.32	8	9
BL62N3260	N-6-03	5	GU8053	134	N-6-03-5	5	Z139	1126.32	0	1
BL72N5447	N-6-04	1	GU8024	194	N-6-04-1	5	Z1110	1293.3	10	11
BL72N5447	N-6-04	2	GU8024	194	N-6-04-2	10	Z615	1226.54	14	15
BL72N5447	N-6-04	3	GU8024	194	N-6-04-3	5	Z918	1265.47	12	13
BL72N5447	N-6-04	4	GU8024	194	N-6-04-4	10	Z878	1284.98	8	9
BL82N4200	N-6-05	1	GU8169	135	N-6-05-1	5	Z1200	1321.13	10	11
BL82N4200	N-6-05	2	GU8169	135	N-6-05-2	10	Z140	1109.66	14	15
BL82N4200	N-6-05	3	GU8169	135	N-6-05-3	5	Z752	1237.64	12	13
BL82N4200	N-6-05	4	GU8169	135	N-6-05-4	10	Z422	1168.1	8	9
BL82N4200	N-6-05	5	GU8169	135	N-6-05-5	5	Z1405	1348.96	0	1
BL77N7236	N-6-06	1	GU8150	178	N-6-06-1	5	Z337	1432.45	10	11
BL77N7236	N-6-06	2	GU8150	178	N-6-06-2	10	Z892	1284.98	14	15
BL77N7236	N-6-06	3	GU8150	178	N-6-06-3	5	Z1096	1293.3	12	13
BL77N7236	N-6-06	4	GU8150	178	N-6-06-4	10	Z400	1168.1	8	9
BL67N7144	N-6-07	1	GU8052	83	N-6-07-1	5	Z44	1070.66	10	11
BL67N7144	N-6-07	2	GU8052	83	N-6-07-2	10	Z612	1226.54	14	15
BL67N7144	N-6-07	3	GU8052	83	N-6-07-3	5	Z117	1042.83	12	13
BL62N2891	N-6-08	1	GU8032	130	N-6-08-1	5	Z934	1265.47	10	11
BL62N2891	N-6-08	2	GU8032	130	N-6-08-2	10	Z340	1460.3	14	15
BL72N5843	N-6-09	1	GU8203	191	N-6-09-1	5	Z94	1126.32	10	11
BL72N5843	N-6-09	2	GU8203	191	N-6-09-2	10	Z896	1284.98	14	15
BL82N4242	N-6-10	1	GU8214	108	N-6-10-1	5	Z46	1070.66	10	11
BL82N4242	N-6-10	2	GU8214	108	N-6-10-2	10	Z868	1284.98	14	15
BL82N4242	N-6-10	3	GU8214	108	N-6-10-3	5	Z462	1181.98	12	13
BL82N4242	N-6-10	4	GU8214	108	N-6-10-4	10	Z410	1168.1	8	9
BL82N4238	N-7-01	1	GU8165	11	N-7-01-1	5	Z122	1265.47	10	11
BL82N4238	N-7-01	2	GU8165	11	N-7-01-2	10	Z1414	1372.64	14	15
BL82N4238	N-7-01	3	GU8165	11	N-7-01-3	5	Z491	1181.98	12	13
BL82N4238	N-7-01	4	GU8165	11	N-7-01-4	10	Z405	1168.1	8	9
BL82N4238	N-7-01	5	GU8165	11	N-7-01-5	5	Z351	1432.45	0	1
BL82N4238	N-7-01	6	GU8165	11	N-7-01-6	10	Z449	1197.32	4	5
BL82N4238	N-7-01	7	GU8165	11	N-7-01-7	5	Z334	1432.45	6	7
BL82N4238	N-7-01	8	GU8165	11	N-7-01-8	10	Z589	1226.54	2	3
BL72N5925	N-7-02	1	GU8132	33	N-7-02-1	5	Z60	1293.3	10	11
BL72N5925	N-7-02	2	GU8132	33	N-7-02-2	10	Z873	1284.98	14	15
BL72N5925	N-7-02	3	GU8132	33	N-7-02-3	5	Z431	1154.15	12	13
BL72N5925	N-7-02	4	GU8132	33	N-7-02-4	10	Z402	1168.1	8	9
BL72N5925	N-7-02	5	GU8132	33	N-7-02-5	5	Z407	1154.15	0	1
BL72N5925	N-7-02	6	GU8132	33	N-7-02-6	10	Z749	1255.76	4	5
BL72N5925	N-7-02	7	GU8132	33	N-7-02-7	5	Z1436	1348.96	6	7
BL72N5925	N-7-02	8	GU8132	33	N-7-02-8	10	Z399	1460.3	2	3
BL67N7140	N-7-03	1	GU8063	164	N-7-03-1	5	Z107	1376.79	10	11
BL67N7140	N-7-03	2	GU8063	164	N-7-03-2	10	Z1323	1401.86	14	15
BL67N7140	N-7-03	3	GU8063	164	N-7-03-3	5	Z346	1432.45	12	13
BL67N7140	N-7-03	4	GU8063	164	N-7-03-4	10	Z457	1197.32	8	9
BL67N7140	N-7-03	5	GU8063	164	N-7-03-5	5	Z497	1181.98	0	1
BL67N7140	N-7-03	6	GU8063	164	N-7-03-6	10	Z777	1255.76	4	5
BL67N7140	N-7-03	7	GU8063	164	N-7-03-7	5	Z769	1237.64	6	7
BL67N7140	N-7-03	8	GU8063	164	N-7-03-8	10	Z456	1197.3	2	3
BL67N7017	N-7-04	1	GU8043	224	N-7-04-1	5	Z88	1237.64	10	11
BL67N7017	N-7-04	2	GU8043	224	N-7-04-2	10	Z1087	1314.2	14	15
BL67N7017	N-7-04	3	GU8043	224	N-7-04-3	5	Z127	1042.83	12	13
BL67N7017	N-7-04	4	GU8043	224	N-7-04-4	10	Z784	1255.76	8	9
BL67N7017	N-7-04	5	GU8043	224	N-7-04-5	5	Z423	1154.15	0	1
BL67N7017	N-7-04	6	GU8043	224	N-7-04-6	10	Z338	1460.3	4	5
BL67N7017	N-7-04	7	GU8043	224	N-7-04-7	5	Z1534	1321.13	6	7
BL67N7017	N-7-04	8	GU8043	224	N-7-04-8	10	Z209	1138.8	2	3
BL77N7226	N-7-05	1	GU8060	226	N-7-05-1	5	Z74	1265.47	10	11
BL77N7226	N-7-05	2	GU8060	226	N-7-05-2	10	Z596	1226.54	14	15
BL77N7226	N-7-05	3	GU8060	226	N-7-05-3	5	Z86	1042.83	12	13
BL77N7226	N-7-05	4	GU8060	226	N-7-05-4	10	Z816	1255.76	8	9
BL77N7226	N-7-05	5	GU8060	226	N-7-05-5	5	Z773	1237.64	0	1
BL77N7226	N-7-05	6	GU8060	226	N-7-05-6	10	Z345	1460.3	4	5
