Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 7 999
1 5 997
2 10 997
3 8 998
4 7 997
5 8 995
6 11 998
7 5 999
8 6 998
9 5 999
10 8 997
11 8 996
12 11 994
13 9 999
14 15 994
15 5 997
16 7 999
17 5 997
18 7 993
19 5 999
20 7 999
21 5 998
22 10 997
23 5 996
24 5 999
25 5 999
26 8 999
27 5 996
28 7 999
29 8 997
30 10 998
31 5 996
32 5 999
33 5 999
34 5 999
35 7 999
36 6 998
37 7 997
38 6 999
39 6 998
40 6 999
41 7 999
42 5 999
43 6 999
44 6 998
45 6 997
46 7 992
47 6 999
48 5 996
49 5 998
50 11 998
51 5 998
52 9 998
53 10 998
54 15 997
55 12 998
56 7 998
57 5 999
58 7 992
59 13 994
60 7 998
61 5 997
62 7 995
63 15 997
64 28 930
65 29 919
66 33 926
67 32 920
68 23 913
69 17 913
70 23 922
71 25 916
72 21 914
73 37 934
74 23 912
75 32 930
76 27 913
77 23 913
78 33 917
79 24 925
80 29 933
81 32 932
82 35 935
83 31 925
84 21 922
85 29 926
86 28 921
87 22 930
88 20 926
89 23 922
90 22 920
91 25 918
92 22 927
93 25 919
94 37 934
95 42 933
96 27 932
97 24 942
98 30 925
99 39 936
100 22 920
101 20 922
102 27 930
103 32 936
104 29 923
105 32 914
106 24 913
107 32 920
108 22 931
109 22 908
110 36 924
111 33 972
112 54 951
113 53 957
114 57 961
115 51 946
116 53 949
117 51 956
118 44 941
119 43 947
120 55 950
121 46 946
122 42 949
123 45 947
124 32 945
125 41 940
126 48 949
127 52 947
