Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 77.8 2.6 78.7 2.6 88.0 1.1 88.5 1.1 
1 84.7 2.2 79.8 2.3 86.9 1.3 91.5 1.1 
2 82.6 2.1 84.7 2.0 93.0 1.2 88.2 1.1 
3 83.2 2.3 85.4 2.2 84.8 1.1 88.8 1.3 
4 86.5 2.2 84.0 2.5 88.1 1.1 85.5 1.1 
5 79.7 2.3 77.1 2.1 89.2 1.2 91.1 1.2 
6 88.5 2.3 82.8 2.4 88.1 1.4 85.2 1.0 
7 84.2 2.2 81.6 2.3 88.4 1.1 91.2 1.1 
8 85.7 2.2 85.9 2.5 93.6 1.2 96.7 1.2 
9 83.4 2.3 85.9 2.3 90.2 1.4 92.2 1.2 
10 82.5 2.6 85.2 2.3 89.3 1.2 92.1 1.1 
11 82.7 2.4 84.8 2.3 85.2 1.3 92.7 1.1 
12 83.1 2.2 84.7 2.3 92.2 1.1 87.9 1.1 
13 86.4 2.4 88.2 2.2 87.8 1.4 88.5 1.1 
14 80.7 2.5 78.0 2.4 91.7 1.2 84.7 1.2 
15 80.7 2.5 85.0 2.2 87.4 1.2 90.3 1.2 
16 74.3 2.1 71.3 2.2 80.4 1.0 78.3 1.1 
17 75.3 2.2 70.5 2.3 74.3 1.2 72.5 1.4 
18 74.9 2.2 76.2 2.0 82.4 1.1 84.1 1.1 
19 75.0 2.1 73.5 2.3 72.3 1.1 69.9 1.0 
20 66.9 2.2 71.0 2.3 78.2 1.2 76.2 1.0 
21 69.9 2.2 75.5 2.2 80.8 1.2 77.0 1.1 
22 74.7 2.2 69.1 2.3 77.1 1.1 79.1 1.1 
23 68.6 2.3 71.2 2.1 79.7 1.1 77.6 1.1 
24 67.0 2.1 67.1 2.1 75.8 1.3 78.6 1.1 
25 67.9 2.1 70.6 2.3 80.6 1.1 83.2 1.1 
26 67.2 2.1 64.4 2.1 73.7 1.2 75.8 1.1 
27 70.6 2.3 68.8 2.1 79.1 1.2 77.5 1.1 
28 69.7 2.1 72.0 2.1 72.8 1.1 76.1 1.2 
29 70.7 2.2 74.8 2.2 74.5 1.4 80.2 1.1 
30 65.9 2.2 74.7 2.1 71.9 1.2 75.2 1.1 
31 67.4 2.1 67.2 2.3 78.5 1.2 77.4 1.1 
32 76.0 3.0 77.2 3.4 81.4 1.4 85.2 1.4 
33 77.1 3.0 74.2 2.8 84.1 1.4 78.3 1.6 
34 75.0 3.0 78.3 3.1 82.6 1.5 78.9 1.4 
35 81.8 2.8 77.0 2.8 84.3 1.3 82.0 1.2 
