Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 788
1 785
2 785
3 788
4 784
5 779
6 784
7 778
8 782
9 775
10 787
11 769
12 780
13 785
14 783
15 795
16 792
17 787
18 792
19 788
20 782
21 795
22 793
23 780
24 790
25 792
26 790
27 795
28 789
29 778
30 779
31 791
32 765
33 754
34 768
35 762
36 753
37 768
38 773
39 773
40 759
41 762
42 757
43 762
44 767
45 748
46 757
47 763
48 799
49 800
50 794
51 784
52 801
53 790
54 793
55 805
56 790
57 791
58 804
59 800
60 783
61 797
62 800
63 804
64 784
65 809
66 816
67 801
68 793
69 769
70 794
71 800
72 798
73 804
74 802
75 803
76 799
77 804
78 798
79 803
80 785
81 788
82 791
83 780
84 779
85 781
86 776
87 789
88 788
89 785
90 775
91 792
92 785
93 745
94 785
95 791
96 764
97 742
98 754
99 762
100 749
101 742
102 740
103 754
104 763
105 744
106 770
107 771
108 767
109 756
110 749
111 776
112 789
113 788
114 791
115 802
116 800
117 781
118 800
119 786
120 799
121 777
122 796
123 788
124 794
125 787
126 790
127 791
