Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 0  116.7  3.7  -0.7  3.7  51.9  126.7  2.7  -1.7  2.4  43.6  6121  13.5388  6112  13.007 
 1  122.5  5.0  -4.8  4.3  131.8  135.9  3.2  -6.1  2.1  12.9  3207  13.4698  3171  12.8258 
 2  117.2  2.0  2.0  1.7  23.6  116.9  2.2  -1.9  1.9  26.9  595  13.7738  592  13.0993 
 3  125.9  3.6  -2.6  3.2  80.6  120.1  2.4  1.3  2.2  37.1  3913  13.0803  3901  14.1615 
 4  120.8  1.6  0.2  1.7  24.2  117.4  0.9  1.0  1.0  7.8  5910  12.6476  5930  12.5314 
 5  116.8  2.8  3.0  1.9  30.0  125.8  1.8  -2.5  1.3  10.9  6133  12.734  6148  12.6634 
 6  116.7  1.3  1.7  1.0  8.5  122.9  1.1  -1.5  0.9  5.2  0 0 0 0
 7  129.2  5.2  -7.4  6.3  319.0  116.3  3.3  -1.9  3.4  51.9  262  13.5105  239  12.7434 
 8  126.4  2.1  -2.4  1.4  15.4  109.2  6.3  3.4  4.4  135.1  0 0 0 0
 9  125.4  2.8  -7.9  2.4  39.3  119.7  0.7  1.2  0.5  2.2  4547  13.2293  4607  13.591 
 10  118.8  3.0  -4.7  3.3  82.8  123.9  1.4  -4.1  1.5  16.8  6203  12.8431  6236  12.7709 
 11  107.9  1.4  8.3  1.1  9.9  113.9  4.0  6.5  3.0  68.2  0 0 0 0
 12  115.4  4.8  2.3  3.2  72.4  114.7  2.5  2.8  1.7  19.8  0 0 0 0
 13  116.4  2.5  2.7  1.5  18.0  116.4  1.9  2.8  1.2  10.4  6122  13.926  6133  13.5767 
 14  116.7  2.1  -1.8  1.7  21.2  121.8  5.5  0.1  4.3  136.2  0 0 0 0
 15  116.7  2.5  -0.7  2.3  41.3  115.2  1.7  4.0  1.6  18.7  1044  14.348  1069  13.8798 
 16  127.9  4.8  6.0  5.8  282.6  118.0  1.7  2.7  2.2  36.3  4639  13.8526  4583  13.292 
 17  129.5  2.0  -7.9  2.5  46.4  131.7  3.1  -1.0  3.7  110.3  959  14.2534  1055  13.8035 
 18  131.5  5.0  -5.2  5.2  210.1  126.6  2.5  -0.0  2.6  53.4  442  13.0983  413  13.5827 
 19  126.5  2.6  0.0  2.4  46.1  127.7  1.1  -1.8  1.0  8.4  0 0 0 0
 20  137.6  4.0  -4.8  3.1  78.6  124.1  3.3  -3.5  2.8  54.0  490  13.8136  507  13.7432 
 21  122.4  2.2  -3.2  2.5  48.5  128.9  4.3  9.0  4.2  156.6  4184  14.3248  4230  14.2203 
 22  111.7  2.9  9.4  2.6  55.8  127.1  2.1  2.7  1.8  26.4  0  0  0  0 
 23  123.6  4.6  2.0  3.3  83.8  125.2  2.1  1.4  1.5  15.6  0 0 0 0
 24  125.0  3.3  2.0  4.2  133.2  130.5  5.7  0.3  7.1  373.8  6164  13.9665  6166  13.7092 
 25  125.9  3.0  1.3  4.1  136.9  124.3  4.1  -2.2  5.7  258.4  5733  14.3717  5766  13.4387 
 26  118.4  3.1  0.9  3.2  76.0  127.0  2.8  3.1  2.7  56.9  264  13.1223  224  13.7479 
 27  133.3  4.4  -4.4  3.8  101.4  130.7  3.5  -1.1  3.0  64.1  6128  13.9288  6142  14.3026 
 28  124.7  3.5  3.2  4.1  134.8  122.4  2.1  3.5  2.6  52.6  1233  13.697  1218  14.3214 
 29  125.4  3.2  0.6  2.3  37.8  123.0  5.2  5.1  3.5  88.4  0 0 0 0
 30  122.8  3.7  -1.2  2.8  32.3  122.5  4.7  2.5  3.3  68.8  0 0 0 0
 31  123.8  5.0  3.3  4.7  168.4  122.8  2.9  -0.3  2.9  61.3  4598  14.5511  4597  13.8639 
 32  124.4  1.9  -1.2  1.7  20.9  123.9  2.6  -3.0  2.3  39.2  0 0 0 0
 33  110.3  4.2  14.1  5.6  262.9  118.1  2.6  6.7  3.5  98.7  0 0 0 0
 34  119.3  4.9  5.5  8.1  282.1  129.0  1.9  1.3  2.7  59.9  368  13.8573  390  12.2593 
 35  123.9  1.4  -0.6  1.3  9.9  124.0  3.4  4.5  3.2  61.8  0 0 0 0
 36  123.8  1.9  0.2  3.1  24.8  124.8  1.1  -1.9  2.1  36.6  1231  13.1123  1198  12.6272 
 37  134.4  2.9  -14.3  5.2  220.4  125.9  2.4  0.1  4.2  141.2  6011  13.8075  6006  13.7144 
 38  125.7  2.8  -2.7  4.3  144.9  127.7  4.6  -2.7  6.8  360.1  1023  12.575  1072  13.5764 
 39  118.5  2.8  3.6  3.2  81.6  120.4  2.6  -6.0  3.1  69.0  509  13.4149  536  12.4797 
 40  122.6  1.2  1.2  1.5  17.6  123.1  1.6  -2.2  2.0  31.0  0 0 0 0
 41  125.0  2.4  -1.1  1.9  26.3  126.8  2.2  -0.2  1.7  20.8  0 0 0 0
 42  122.4  2.2  3.8  3.0  75.3  119.5  4.5  4.6  5.9  300.7  0 0 0 0
 43  122.4  1.6  1.5  2.0  33.1  123.5  0.7  0.4  0.8  5.6  0 0 0 0
 44  120.6  2.3  4.8  2.4  44.4  117.7  3.0  2.7  3.2  80.1  0 0 0 0
 45  129.7  6.8  -3.8  9.1  649.7  124.4  0.8  1.5  1.1  9.3  5948  14.0721  5946  14.2374 
 46  121.5  1.7  1.8  2.1  34.9  123.2  1.3  2.6  1.7  22.2  4728  14.4471  4711  13.2879 
 47  118.2  3.4  9.4  4.8  99.3  131.0  3.2  -9.3  4.4  137.1  455  13.7281  416  13.8948 
 48  126.0  2.2  1.0  3.5  101.1  122.7  2.4  3.7  3.9  127.4  6060  13.2688  6046  13.9825 
 49  124.2  1.7  3.9  2.3  45.2  124.1  1.4  0.7  1.9  29.4  2566  12.9636  2558  13.9165 
 50  118.7  3.3  11.5  4.7  203.3  120.9  0.8  7.8  1.1  10.9  2623  13.6156  2564  13.6731 
 51  129.6  1.9  -2.1  2.9  70.0  127.7  1.3  -4.5  2.1  37.5  6187  12.3795  6179  12.2706 
 52  128.2  2.6  -2.9  3.6  100.9  122.8  1.9  8.4  2.6  54.8  5088  14.0846  5063  13.2315 
 53  120.8  2.6  7.5  3.5  109.3  120.1  2.2  5.9  3.0  75.7  477  13.9073  450  14.1845 
 54  123.9  0.7  0.0  0.7  4.4  126.5  0.9  0.9  1.1  8.3  6124  13.5186  6131  14.051 
 55  128.2  3.6  1.3  4.7  183.3  125.9  1.0  0.2  1.4  15.7  240  14.1071  202  14.7751 
 56  131.4  3.0  -1.8  4.8  199.1  126.7  5.7  -0.2  9.1  671.0  832  12.9897  815  14.8003 
 57  122.4  1.7  3.8  2.1  34.4  121.6  3.5  2.5  2.8  16.7  6102  13.0297  6107  13.5575 
 58  126.2  1.6  0.4  2.7  59.9  133.4  3.9  -2.8  6.4  342.2  5214  13.2409  5231  13.1471 
 59  124.8  2.2  5.7  3.1  79.5  125.8  1.7  -2.0  2.5  48.3  5443  13.9853  5465  13.9123 
 60  127.8  6.3  1.8  11.4  585.4  120.8  6.1  5.0  10.8  983.6  6132  13.2933  6131  13.2731 
 61  120.6  2.5  4.7  3.4  97.8  128.0  1.3  -3.6  1.8  26.2  0 0 0 0
 62  127.4  2.5  -2.8  3.4  89.8  126.5  2.9  1.4  3.7  113.7  520  12.9439  548  14.1356 
 63  124.2  1.7  3.1  1.8  25.7  124.1  2.6  2.8  2.9  67.0  618  14.3164  611  13.3998 
 64  119.5  1.5  3.0  1.1  10.0  122.5  4.4  3.2  2.5  28.7  0 0 0 0
 65  122.5  3.6  0.4  2.7  60.9  115.0  3.4  2.7  2.6  54.8  2168  13.8787  2213  12.5682 
 66  125.7  1.0  -0.6  0.6  3.3  122.3  1.8  2.9  1.2  11.7  0 0 0 0
 67  120.5  3.8  1.9  2.9  66.9  127.3  4.4  -0.7  3.2  74.8  0 0 0 0
 68  125.3  2.5  -0.2  1.8  26.0  120.2  3.2  2.0  2.3  42.9  5720  13.3887  5709  12.8096 
 69  122.1  2.4  1.3  1.5  16.5  119.0  1.6  1.4  1.0  7.3  0 0 0 0
 70  124.2  1.3  0.2  0.8  4.1  125.4  3.6  3.1  2.1  32.7  6154  13.9803  6162  13.7206 
 71  125.3  2.1  -1.3  1.6  19.5  118.8  1.7  2.3  1.3  13.0  6225  13.948  6210  14.3104 
 72  115.6  3.5  4.6  2.5  56.0  125.5  4.0  -2.1  2.9  60.8  1060  13.2305  1068  12.4668 
 73  121.7  1.8  1.5  1.2  10.4  124.9  4.7  1.9  3.0  71.0  6165  13.7035  6166  13.7742 
 74  132.0  3.3  -4.0  2.1  36.6  122.7  6.4  2.4  4.1  137.5  0 0 0 0
 75  131.6  4.7  -2.1  3.4  92.2  122.8  3.7  2.1  2.7  58.5  1392  14.0138  1424  13.8004 
 76  123.8  2.7  -2.5  1.9  28.7  118.5  1.7  4.5  1.2  11.1  2368  12.9575  2420  13.8785 
 77  123.3  1.9  0.2  1.3  15.2  126.5  1.0  0.8  0.7  3.8  5432  13.788  5477  14.053 
 78  122.0  2.2  3.4  1.0  7.5  111.1  5.8  3.6  2.9  59.2  6112  14.4326  6129  13.9401 
 79  119.4  0.8  1.8  0.5  2.2  127.5  6.1  -3.7  4.1  120.6  1112  13.2712  1175  14.1146 
