AxonCableNo	AxonConnector	HVS_ChanGp	HVS_ChanNo	SAMTEC_PinNo	GCU_HV_Gp	asicID	asicChnID	ABC_Channel
1	1	B2	32	11	11	3	6	54
2	1	B2	31	7	11	3	2	50
3	1	B2	30	19	11	3	14	62
4	1	B2	29	13	11	3	8	56
5	1	B2	28	14	11	3	9	57
6	1	B2	27	6	11	3	1	49
7	1	B2	26	10	11	3	5	53
8	1	B2	25	20	11	3	15	63
9	1	B2	24	9	11	3	4	52
10	1	B2	23	5	11	3	0	48
11	1	B2	22	17	11	3	12	60
12	1	B2	21	15	11	3	10	58
13	1	B2	20	16	11	3	11	59
14	1	B2	19	8	11	3	3	51
15	1	B2	18	12	11	3	7	55
16	1	B2	17	18	11	3	13	61
1	2	B3	56	14	15	0	9	9
2	2	B3	55	18	15	0	13	13
3	2	B3	54	6	15	0	1	1
4	2	B3	53	10	15	0	5	5
5	2	B3	52	9	15	0	4	4
6	2	B3	51	5	15	0	0	0
7	2	B3	50	17	15	0	12	12
8	2	B3	49	13	15	0	8	8
9	2	B3	64	16	15	0	11	11
10	2	B3	63	20	15	0	15	15
11	2	B3	62	8	15	0	3	3
12	2	B3	61	12	15	0	7	7
13	2	B3	60	11	15	0	6	6
14	2	B3	59	7	15	0	2	2
15	2	B3	58	19	15	0	14	14
16	2	B3	57	15	15	0	10	10
1	3	B4	40	22	13	2	1	33
2	3	B4	39	32	13	2	11	43
3	3	B4	38	36	13	2	15	47
4	3	B4	37	28	13	2	7	39
5	3	B4	36	27	13	2	6	38
6	3	B4	35	21	13	2	0	32
7	3	B4	34	33	13	2	12	44
8	3	B4	33	29	13	2	8	40
9	3	B4	48	24	13	2	3	35
10	3	B4	47	30	13	2	9	41
11	3	B4	46	34	13	2	13	45
12	3	B4	45	26	13	2	5	37
13	3	B4	44	25	13	2	4	36
14	3	B4	43	23	13	2	2	34
15	3	B4	42	35	13	2	14	46
16	3	B4	41	31	13	2	10	42
1	4	B1	16	27	9	1	6	22
2	4	B1	15	23	9	1	2	18
3	4	B1	14	35	9	1	14	30
4	4	B1	13	31	9	1	10	26
5	4	B1	12	32	9	1	11	27
6	4	B1	11	36	9	1	15	31
7	4	B1	10	24	9	1	3	19
8	4	B1	9	28	9	1	7	23
9	4	B1	8	25	9	1	4	20
10	4	B1	7	21	9	1	0	16
11	4	B1	6	33	9	1	12	28
12	4	B1	5	29	9	1	8	24
13	4	B1	4	30	9	1	9	25
14	4	B1	3	34	9	1	13	29
15	4	B1	2	22	9	1	1	17
16	4	B1	1	26	9	1	5	21
1	5	A1	16	27	1	6	6	102
2	5	A1	15	23	1	6	2	98
3	5	A1	14	35	1	6	14	110
4	5	A1	13	31	1	6	10	106
5	5	A1	12	32	1	6	11	107
6	5	A1	11	36	1	6	15	111
7	5	A1	10	24	1	6	3	99
8	5	A1	9	28	1	6	7	103
9	5	A1	8	25	1	6	4	100
10	5	A1	7	21	1	6	0	96
11	5	A1	6	33	1	6	12	108
12	5	A1	5	29	1	6	8	104
13	5	A1	4	30	1	6	9	105
14	5	A1	3	34	1	6	13	109
15	5	A1	2	22	1	6	1	97
16	5	A1	1	26	1	6	5	101
1	6	A4	40	22	5	5	1	81
2	6	A4	39	32	5	5	11	91
3	6	A4	38	36	5	5	15	95
4	6	A4	37	28	5	5	7	87
5	6	A4	36	27	5	5	6	86
6	6	A4	35	21	5	5	0	80
7	6	A4	34	33	5	5	12	92
8	6	A4	33	29	5	5	8	88
9	6	A4	48	24	5	5	3	83
10	6	A4	47	30	5	5	9	89
11	6	A4	46	34	5	5	13	93
12	6	A4	45	26	5	5	5	85
13	6	A4	44	25	5	5	4	84
14	6	A4	43	23	5	5	2	82
15	6	A4	42	35	5	5	14	94
16	6	A4	41	31	5	5	10	90
1	7	A3	56	14	7	7	9	121
2	7	A3	55	18	7	7	13	125
3	7	A3	54	6	7	7	1	113
4	7	A3	53	10	7	7	5	117
5	7	A3	52	9	7	7	4	116
6	7	A3	51	5	7	7	0	112
7	7	A3	50	17	7	7	12	124
8	7	A3	49	13	7	7	8	120
9	7	A3	64	16	7	7	11	123
10	7	A3	63	20	7	7	15	127
11	7	A3	62	8	7	7	3	115
12	7	A3	61	12	7	7	7	119
13	7	A3	60	11	7	7	6	118
14	7	A3	59	7	7	7	2	114
15	7	A3	58	19	7	7	14	126
16	7	A3	57	15	7	7	10	122
1	8	A2	32	11	3	4	6	70
2	8	A2	31	7	3	4	2	66
3	8	A2	30	19	3	4	14	78
4	8	A2	29	13	3	4	8	72
5	8	A2	28	14	3	4	9	73
6	8	A2	27	6	3	4	1	65
7	8	A2	26	10	3	4	5	69
8	8	A2	25	20	3	4	15	79
9	8	A2	24	9	3	4	4	68
10	8	A2	23	5	3	4	0	64
11	8	A2	22	17	3	4	12	76
12	8	A2	21	15	3	4	10	74
13	8	A2	20	16	3	4	11	75
14	8	A2	19	8	3	4	3	67
15	8	A2	18	12	3	4	7	71
16	8	A2	17	18	3	4	13	77
