Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 30 941
1 30 947
2 21 946
3 34 962
4 29 961
5 27 939
6 42 956
7 32 929
8 27 942
9 29 957
10 29 941
11 32 956
12 39 939
13 34 945
14 39 941
15 41 947
16 27 954
17 29 954
18 32 952
19 33 965
20 25 945
21 26 960
22 28 947
23 25 945
24 28 945
25 24 950
26 35 956
27 27 935
28 30 951
29 34 948
30 27 936
31 31 966
32 14 916
33 10 923
34 17 909
35 16 915
36 6 914
37 9 915
38 7 920
39 10 909
40 19 916
41 16 921
42 7 910
43 18 913
44 14 903
45 14 923
46 17 917
47 25 923
48 15 933
49 13 917
50 9 918
51 29 937
52 12 917
53 16 916
54 25 923
55 14 916
56 16 929
57 14 919
58 19 914
59 11 899
60 8 907
61 10 911
62 26 925
63 17 896
64 19 923
65 22 926
66 19 945
67 24 935
68 21 939
69 29 939
70 26 936
71 23 996
72 20 935
73 19 939
74 20 924
75 18 925
76 28 937
77 28 940
78 25 933
79 34 940
80 10 904
81 10 902
82 12 916
83 6 904
84 14 901
85 8 891
86 12 900
87 8 926
88 6 900
89 6 894
90 7 886
91 11 913
92 9 906
93 7 895
94 12 906
95 11 909
96 30 945
97 22 940
98 22 917
99 25 945
100 24 930
101 25 943
102 36 941
103 30 932
104 31 952
105 34 946
106 32 934
107 22 931
108 34 941
109 30 927
110 34 930
111 38 937
112 62 968
113 58 973
114 56 967
115 12 978
116 55 957
117 50 953
118 60 959
119 58 969
120 51 953
121 64 953
122 53 951
123 58 955
124 60 964
125 60 963
126 59 958
127 60 949
