Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 796
1 794
2 795
3 801
4 799
5 799
6 805
7 808
8 809
9 802
10 788
11 788
12 800
13 809
14 805
15 798
16 776
17 770
18 781
19 759
20 772
21 786
22 757
23 756
24 768
25 764
26 773
27 755
28 768
29 763
30 767
31 772
32 942
33 755
34 752
35 762
36 765
37 760
38 768
39 760
40 767
41 761
42 761
43 771
44 758
45 769
46 770
47 769
48 768
49 773
50 760
51 771
52 770
53 786
54 767
55 772
56 771
57 776
58 762
59 769
60 763
61 772
62 769
63 771
64 767
65 768
66 785
67 774
68 785
69 783
70 781
71 789
72 780
73 779
74 780
75 776
76 783
77 772
78 780
79 773
80 799
81 796
82 803
83 802
84 803
85 791
86 795
87 796
88 779
89 805
90 790
91 808
92 793
93 794
94 795
95 798
96 784
97 733
98 804
99 803
100 771
101 788
102 776
103 793
104 797
105 792
106 792
107 798
108 793
109 792
110 797
111 808
112 993
113 950
114 959
115 828
116 767
117 775
118 783
119 771
120 780
121 773
122 762
123 768
124 775
125 780
126 775
127 766
