Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 83.4 2.3 79.2 2.3 84.0 1.1 85.4 1.4 
1 82.0 2.2 87.1 2.1 88.0 1.2 85.7 1.0 
2 83.9 1.9 81.5 2.0 86.7 1.3 91.5 1.0 
3 76.6 2.1 78.6 2.1 91.5 1.1 96.5 1.0 
4 81.3 2.4 79.8 2.2 87.7 1.1 87.8 0.9 
5 85.8 2.1 85.5 1.8 88.1 1.1 90.3 1.1 
6 80.8 2.1 74.4 2.1 85.2 1.1 86.9 1.0 
7 87.4 2.2 84.8 2.3 90.5 1.3 90.5 1.1 
8 81.8 2.3 80.3 2.2 84.6 1.3 84.3 1.0 
9 79.8 2.3 80.3 2.0 89.9 1.2 87.8 1.1 
10 83.4 2.2 80.5 2.4 89.2 1.3 85.4 0.9 
11 84.5 2.2 77.5 2.2 89.0 1.2 91.8 1.0 
12 82.5 2.3 85.2 2.1 85.5 1.2 87.5 1.0 
13 84.0 2.0 79.4 2.1 88.1 1.0 91.6 1.1 
14 80.0 2.3 80.1 2.0 91.2 1.1 86.2 1.3 
15 80.0 2.4 82.8 2.2 83.6 1.2 90.4 1.2 
16 81.7 2.2 85.3 1.9 91.7 1.1 88.3 1.0 
17 79.7 2.1 85.7 2.1 94.2 1.2 92.7 1.1 
18 84.1 2.0 80.5 2.0 91.5 1.2 89.2 1.1 
19 84.0 2.0 81.0 2.3 90.3 1.3 87.4 1.3 
20 83.1 2.1 81.4 2.2 84.8 1.2 87.8 1.0 
21 82.8 2.2 77.9 2.3 89.5 1.4 85.2 1.1 
22 80.9 2.3 79.3 2.1 86.4 1.4 90.2 1.2 
23 79.0 2.1 79.6 2.2 86.2 1.1 90.3 1.0 
24 84.6 2.2 81.8 2.0 88.5 1.2 90.6 1.1 
25 79.8 2.0 79.5 2.1 87.3 1.1 85.7 1.1 
26 78.4 2.2 79.6 2.4 91.7 1.2 86.4 1.3 
27 79.0 2.1 81.7 2.1 90.1 1.4 84.7 1.1 
28 83.0 2.1 77.8 2.1 85.2 1.2 84.0 1.5 
29 75.6 2.2 77.7 2.3 84.3 1.1 91.5 1.2 
