Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 0  124.6  2.7  -8.2  2.5  46.6  128.0  1.9  -2.3  1.7  21.5  6051  14.1153  6049  12.9041 
 1  122.4  4.0  -8.7  3.4  85.0  122.9  0.6  -1.0  0.4  0.5  3303  13.9434  3336  13.1675 
 2  118.7  2.0  1.3  1.7  23.8  118.2  2.0  -2.6  1.8  22.4  610  13.2293  611  13.232 
 3  121.1  2.9  -2.1  2.6  51.0  122.1  2.0  -2.7  1.8  24.3  3999  14.059  3969  12.9706 
 4  118.5  2.5  4.8  2.6  56.8  114.4  3.1  2.9  3.3  86.3  5813  12.649  5797  12.3664 
 5  119.0  2.9  1.8  2.0  31.7  125.8  3.6  -6.1  2.6  45.2  6034  13.4688  6032  13.3856 
 6  120.0  2.1  1.8  1.7  22.0  125.1  0.9  -4.4  0.7  3.4  0 0 0 0
 7  126.9  4.1  -5.9  5.0  196.5  114.4  1.7  0.2  1.7  13.3  270  13.7924  289  12.9512 
 8  123.3  2.5  -1.1  1.7  20.7  124.5  2.1  -1.2  1.4  14.5  0 0 0 0
 9  127.9  3.8  -7.7  3.2  71.8  122.7  1.7  -1.5  1.4  14.0  4609  14.018  4539  13.3461 
 10  116.6  2.0  2.0  2.2  37.0  125.7  1.4  -2.4  1.5  16.6  6153  13.2943  6145  13.3219 
 11  117.5  2.1  -2.9  1.6  20.4  121.9  2.5  -0.1  1.9  26.2  0 0 0 0
 12  124.7  4.7  -2.9  3.0  67.6  117.6  3.9  2.5  2.6  47.6  0 0 0 0
 13  114.9  3.9  2.1  2.4  44.8  119.6  2.0  -0.4  1.3  10.8  6060  13.8773  6065  13.3968 
 14  123.2  1.7  -7.8  1.4  13.4  121.8  4.3  -0.5  3.4  83.3  0 0 0 0
 15  121.3  2.2  -3.0  2.1  33.1  118.8  1.6  -0.3  1.5  18.0  1058  13.9719  1062  13.9497 
 16  112.1  7.4  14.8  8.9  667.9  119.2  2.3  -0.5  3.0  68.8  4885  12.9767  4847  13.7226 
 17  121.2  4.2  -0.0  5.2  203.8  129.6  3.3  -3.1  3.9  120.7  1327  13.5724  1272  12.1762 
 18  122.1  2.1  -0.8  2.2  38.0  127.3  3.1  -1.4  3.1  77.1  554  12.7996  606  12.6435 
 19  124.2  2.0  0.9  1.9  26.8  123.8  0.5  3.8  0.4  1.4  0 0 0 0
 20  134.0  4.0  -7.5  3.2  81.8  128.9  4.9  -6.4  4.1  116.9  653  12.8054  712  13.4519 
 21  112.0  3.6  2.9  3.9  124.3  123.6  2.0  9.6  2.0  34.0  4204  14.2258  4229  13.563 
 22  120.5  2.2  3.3  2.0  33.8  129.1  1.8  1.4  1.6  18.9  288  12.3828  267  13.1809 
 23  127.4  5.1  -1.6  3.6  99.9  125.6  1.3  -1.4  0.9  6.3  0 0 0 0
 24  126.6  4.0  -1.7  5.1  200.6  127.4  3.4  -0.5  4.3  136.2  6097  13.6376  6095  13.5096 
 25  126.7  2.1  -0.6  3.1  48.1  119.2  0.5  5.1  0.6  3.4  5807  13.9097  5801  13.2984 
 26  120.5  2.6  -0.4  2.6  52.8  125.3  2.3  0.9  2.3  39.0  248  12.9184  239  13.2415 
 27  125.4  6.4  -3.1  5.5  213.2  123.8  5.1  -1.1  4.4  135.4  6071  13.9317  6067  13.7735 
 28  122.5  3.2  -1.5  3.9  117.4  122.8  1.4  1.9  1.7  22.4  1485  13.2976  1453  12.6401 
 29  123.5  2.7  1.8  1.9  26.1  126.1  4.3  2.9  2.9  62.0  0 0 0 0
 30  125.1  6.6  -5.1  4.8  164.0  129.9  4.5  -4.1  3.1  61.9  0 0 0 0
 31  129.1  4.4  0.0  4.1  133.3  122.3  3.1  -2.1  3.0  67.7  4927  13.4714  4896  13.5644 
 32  124.1  1.2  0.7  1.0  8.2  121.0  3.5  -0.0  3.1  68.6  0 0 0 0
 33  119.0  1.6  4.0  2.2  39.6  118.3  2.2  6.5  2.9  67.9  0 0 0 0
 34  120.9  5.7  3.6  8.8  643.7  121.0  2.3  2.2  3.3  89.0  318  13.8716  302  11.9143 
 35  128.2  3.2  -0.9  3.0  68.6  121.7  4.5  5.5  4.3  107.7  0 0 0 0
 36  116.9  4.0  7.0  6.1  173.2  124.7  2.7  -0.4  4.9  200.6  1181  13.525  1218  13.0468 
 37  126.7  1.6  -3.2  2.9  68.5  128.9  3.1  -7.6  5.4  235.6  5930  14.0286  5958  13.2687 
 38  120.2  2.7  2.1  4.1  130.2  118.3  1.6  1.4  2.4  44.0  1047  13.0273  1100  12.5209 
 39  123.5  2.3  2.6  2.6  55.9  122.0  3.3  -8.0  4.0  109.3  583  12.9187  591  12.8976 
 40  119.5  0.5  4.5  0.6  2.8  118.8  0.9  2.4  1.2  10.8  0 0 0 0
 41  129.3  1.3  -4.5  1.1  8.2  127.3  5.2  3.9  4.0  112.8  0 0 0 0
 42  119.2  2.1  2.4  2.8  66.5  119.9  4.5  2.8  6.0  308.1  0 0 0 0
 43  122.5  1.9  4.5  2.3  44.7  125.6  1.0  -1.2  1.2  12.2  0 0 0 0
 44  122.8  0.7  -0.3  0.7  4.2  116.6  4.1  4.5  4.3  148.3  0 0 0 0
 45  130.4  6.4  -2.5  8.6  577.9  123.1  1.7  -1.2  2.4  44.8  5907  14.7381  5894  13.8717 
 46  119.4  3.2  3.0  4.0  127.8  122.7  2.4  -0.5  2.9  68.5  4821  13.8687  4750  13.5529 
 47  110.6  2.2  14.1  2.9  70.1  134.7  5.9  -13.0  8.0  453.9  439  13.4702  423  13.8012 
 48  133.2  3.3  -8.2  5.3  228.0  119.2  1.5  5.6  2.5  51.9  5969  13.6175  5986  13.4998 
 49  122.0  2.5  2.9  3.4  98.7  120.7  1.8  1.1  2.4  49.1  2428  12.7942  2431  14.2062 
 50  117.5  0.9  9.2  1.2  13.8  121.7  0.3  2.2  0.5  2.0  2451  13.7444  2397  14.0527 
 51  124.4  1.4  0.8  2.2  40.2  119.5  2.6  0.5  4.2  143.4  3429  12.6039  3383  12.4931 
 52  121.2  1.6  -0.8  2.0  24.5  121.3  0.9  3.5  1.2  11.1  4858  14.0846  4945  13.3761 
 53  121.0  0.9  8.9  1.3  14.3  121.0  1.0  2.6  1.4  15.3  395  13.3383  454  14.2238 
 54  121.1  1.0  -1.4  1.2  11.1  122.0  1.2  -0.6  1.3  13.4  6049  13.3898  6060  13.7793 
 55  122.1  1.8  2.7  2.4  46.3  114.6  1.5  6.5  2.0  34.1  233  13.4587  215  14.7779 
 56  124.1  5.2  0.7  8.4  614.0  129.9  2.1  -4.9  3.3  90.2  770  13.9799  714  13.8057 
 57  118.3  1.7  3.3  2.1  37.0  118.3  2.4  2.0  1.9  7.9  6056  13.4363  6038  13.0871 
 58  118.1  1.9  6.0  3.3  90.3  125.4  5.9  5.4  9.9  805.8  4001  12.8785  4083  12.9684 
 59  126.3  1.0  0.2  1.4  16.5  124.4  2.5  -2.3  3.6  100.5  5463  13.8095  5398  13.6175 
 60  125.7  13.3  7.6  23.8  2865.9  134.2  5.1  -13.6  9.6  466.1  6077  13.5852  6060  13.6022 
 61  124.0  0.7  -1.2  1.0  8.9  121.7  1.1  0.1  1.5  19.1  0 0 0 0
 62  123.7  1.8  -4.0  2.4  45.6  121.0  3.3  1.4  4.3  153.0  461  13.218  484  13.7566 
 63  127.0  1.8  -2.5  1.9  29.0  122.2  2.7  3.2  3.0  69.9  441  14.1386  404  14.3235 
 64  120.3  2.8  3.2  2.1  34.5  121.9  4.7  3.2  2.7  32.1  0 0 0 0
 65  127.8  3.2  -1.2  2.4  47.7  119.9  3.3  3.3  2.5  52.0  2174  13.9789  2233  14.0404 
 66  125.8  1.4  -0.3  0.9  6.7  122.6  1.6  4.4  1.0  9.1  0 0 0 0
 67  122.8  2.3  1.2  1.7  24.4  125.7  2.8  1.4  2.0  31.2  0 0 0 0
 68  130.2  1.6  -1.8  1.2  10.6  122.4  3.7  2.6  2.7  59.0  5579  13.9922  5601  14.1923 
 69  125.3  3.1  1.6  1.8  26.2  120.6  3.1  3.2  1.9  28.5  0 0 0 0
 70  124.9  2.7  0.8  1.7  19.9  126.7  2.5  2.1  1.5  16.0  6084  14.6199  6079  14.0218 
 71  127.6  2.4  0.3  1.8  25.3  122.5  2.4  1.6  1.8  26.5  6141  14.3337  6166  14.6994 
 72  120.8  2.8  3.4  2.0  35.7  133.6  4.9  -3.1  3.5  89.9  1134  13.9403  1177  13.0477 
 73  127.5  3.1  -1.8  2.0  30.6  124.8  4.9  3.6  3.2  78.4  6093  14.4343  6100  14.5424 
 74  126.2  4.2  0.7  2.7  59.7  126.1  6.2  2.2  4.0  127.0  0 0 0 0
 75  127.5  1.7  0.2  1.3  12.9  126.0  4.7  1.6  3.4  92.5  6001  14.6122  6005  14.4383 
 76  118.8  3.5  2.2  2.4  46.5  123.6  1.0  1.1  0.7  3.5  2216  13.1234  2280  14.0061 
 77  122.3  1.5  2.9  1.1  10.6  127.1  2.0  1.0  1.4  16.1  4683  14.2957  4667  14.5896 
 78  132.5  2.8  2.4  1.3  12.5  116.2  6.5  2.4  3.2  73.8  6066  15.3847  6064  13.9698 
 79  124.8  1.0  1.1  0.6  3.2  127.1  5.0  -5.8  3.4  81.7  1038  13.935  1049  13.9595 
